code,common name,botanical name
OASUOO,shumard oak,Quercus alba
OAWHOO,white oak,Quercus bicolor
OAWHSW,swamp white oak,Quercus bicolor
OLRUOO,russian olive,Elaeagnus angustifolia
OROSOO,osage orange,Maclura pomifera
PAJAMS,pagoda tree 'millstone',Styphnolobium japonicum 'Millstone'
PAJARE,pagoda tree 'regent',Styphnolobium japonicum 'Regent'
PATROO,pagoda tree,Styphnolobium japonicum
PEORBR,callery pear 'bradford',Pyrus calleryana 'Bradford'
PEORCH,callery pear 'chanticleer',Pyrus calleryana 'Chanticleer'
PEOROO,pear fruiting,Pyrus spp.
PEORRE,callery pear 'redspire',Pyrus calleryana 'Redspire'
PIAUOO,austrian pine,Pinus nigra
PIJAOO,jack pine,Pinus banksiana
PIMIOO,pine spp.,Pinus spp.
PIMUOO,mugho pine,Pinus mugo
PIPIOO,pitch pine,Pinus rigida
PIREOO,red pine,Pinus resinosa
PISCOO,scotch pine,Pinus sylvestris
PIWHOO,eastern white pine,Pinus strobus
PLLOBL,bloodgood london plane,Platanus × acerifolia 'Bloodgood'
PLLOOO,london plane,Platanus × acerifolia
PLSYOO,sycamore plane,Platanus occidentalis
PMCHNE,canada plum,Prunus nigra
PMPUOO,purple plum,Prunus cerasifera
POBAOO,balsam poplar,Populus balsamifera
POCAOO,carolina poplar,Populus × canadensis
POCOOO,eastern cottonwood,Populus deltoides
POLAOO,largetooth aspen,Populus grandidentata
POLOOO,lombardy poplar,Populus nigra 'Italica'
POMIOO,poplar spp.,Populus spp.
POTROO,trembling poplar,Populus tremuloides
POWHOO,european white poplar,Populus alba
PPOOOO,siberian pea shrub,Caragana arborescens
PRHEOO,shrub / hedge,Shrub
PWOOOO,paw paw,Asimina triloba
REOOOO,redbud,Cercis canadensis
RUHAOO,hardy rubber tree,Eucommia ulmoides
SAOOOO,sassafras,Sassafras albidum
SICAOO,carolina silverbell,Halesia carolina
SMOOOO,smoke tree,Cotinus coggygria
SPCOOO,colorado spruce,Picea pungens
SPDWOO,dwarf spruce,Picea spp.
SPNOOO,norway spruce,Picea abies
SPOOOO,spruce spp.,Picea spp.
SPSEOO,serbian spruce,Picea omorika
SPWHOO,white spruce,Picea glauca
SROOOO,silverberry,Elaeagnus commutata
STUMPO,stump,Stump
SUSTOO,staghorn sumac,Rhus typhina
SVOOOO,serviceberry,Amelanchier spp.
TAOOOO,tamarack,Larix laricina
THOOOO,tree of heaven,Ailanthus altissima
TREEOO,unknown,Unknown
TRFROO,fruit tree,Unknown
TUCOLU,tulip tree 'columnar',Liriodendron tulipifera 'Columnar'
TUEMCI,tulip tree 'emerald city',Liriodendron tulipifera 'Emerald City'
TUOOOO,tulip tree,Liriodendron tulipifera
VICAHI,highbush cranberry,Viburnum opulus
WABLOO,black walnut,Juglans nigra
WABUOO,butternut walnut,Juglans cinerea
WAENOO,english walnut,Juglans regia
